,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
0,0.29122737061863446,2.5573019853117587,-2.3462848121123323,-0.774748267569905,1.1597213657535594,-1.2040992116178095,-1.5448380766100267,1.1520974260678114,1.886062920646019,0.3195632576844622,-0.9269502314343766,1,0
2,0.6724151115280188,2.9680836240924817,-2.0462746952692337,-0.68872139788716,1.9200160115798592,-0.9597487098980388,-1.1770479042687931,0.8727489570577532,0.2686485211869098,1.0267818417509755,-0.592487382896864,1,0
4,0.29122737061863446,2.5573019853117587,-2.3462848121123323,-0.774748267569905,1.1597213657535594,-1.2040992116178095,-1.5448380766100267,1.1520974260678114,1.886062920646019,0.3195632576844622,-0.9269502314343766,1,0
5,0.29122737061863446,2.2834475594579438,-2.3462848121123323,-0.7962549849905912,1.1122029503894155,-1.0819239607579243,-1.4345010249076566,1.1520974260678114,1.886062920646019,0.3195632576844622,-0.9269502314343766,1,0
6,0.7677120467553655,1.872665920677221,-1.8962696368476841,-0.8392684198319638,0.8270924582045536,-0.9597487098980388,-1.0851003611834849,0.6632376053001998,0.5274348251003675,-0.4662351690561087,-0.9269502314343766,1,0
7,0.1959304353912878,2.21498395299449,-2.3462848121123323,-0.9252952895147087,0.6370187967479783,-0.9597487098980388,-1.7839016886318286,0.03470355002761729,1.109704008905649,-0.38765532638205197,-0.4252559586281084,1,0
8,0.6724151115280188,1.7357387077503132,-2.1962797536907828,-0.7532415501492187,1.017166119661128,-1.326274462477695,-1.8390702144830136,0.8029118398052484,0.9156142809705541,0.39814310035851846,-0.8433345192999988,1,0
9,0.38652430584598035,1.1880298560426832,0.35380623947555634,0.12853386409891754,0.9221292889328404,-0.8375734590381534,-0.2943514906498326,1.1520974260678114,0.8509177049921911,2.2054794818618317,-0.007177397956217968,1,0
10,-0.37585117597278905,1.7357387077503132,-1.7462645784261346,-0.7962549849905912,2.1576080884005737,-0.9597487098980388,-0.9747633094811147,0.4886448121689377,0.39804167314363864,0.16240357233634795,-1.0941816557031336,1,0
11,0.38652430584598035,1.1880298560426832,0.35380623947555634,0.12853386409891754,0.9221292889328404,-0.8375734590381534,-0.2943514906498326,1.1520974260678114,0.8509177049921911,2.2054794818618317,-0.007177397956217968,1,0
12,-1.4241174634735978,1.9753613303724016,-2.3462848121123323,-0.8392684198319638,1.777460765487428,-0.8986610844680961,-1.0851003611834849,-0.07005212585117877,2.3389389524945714,0.005243886988233683,-0.5088716707624862,1,0
16,1.3394936581194423,-0.31816948615329965,1.8538568236910504,-0.7962549849905912,1.9200160115798592,0.2620037987008152,-0.27596198203277095,0.8378303984315008,0.5274348251003675,1.812580268491546,-0.007177397956217968,1,0
18,0.29122737061863446,1.804202314213767,-1.7462645784261346,-0.23708033205274862,1.6349055193949966,-1.509537338767523,-1.6367856196953352,1.0124231915627628,1.045007432927283,-0.1519157983598806,-1.2614130799718892,0,0
20,1.7206813990288274,-0.7289511249340225,1.2538365900048525,-0.7962549849905912,1.2072397811177031,-0.10452195387884103,-1.066710852566423,0.8029118398052484,1.109704008905649,0.08382372966229082,-0.9269502314343766,1,0
21,0.4818212410733262,0.4349301849446918,-0.021206406578316975,-0.68872139788716,1.4448318579384174,-0.47104770645849725,-0.8644262577787446,1.2917716605728211,1.950759496624385,1.0267818417509755,-0.6761030950312432,1,0
22,0.7677120467553655,0.7087846107985067,-0.7712316986860638,-0.8392684198319638,2.585273826677872,-1.2651868370477524,-1.4896695507588418,0.7330747225527434,-0.31362066261836863,3.069857751276459,-0.8433345192999988,1,0
23,1.3394936581194423,1.1195662495792293,-1.5212569907938107,-0.68872139788716,1.5398686886667097,-1.326274462477695,-0.9379842922469913,0.8029118398052484,-0.31362066261836863,0.08382372966229082,-0.9269502314343766,1,0
24,-0.1852573055180965,0.5033937914081457,-1.2962494031614864,-0.6672146804664737,1.5873871040308534,-0.5932229573183826,-1.4345010249076566,0.8029118398052484,1.3684903128191066,0.8696221564028612,-0.6761030950312432,1,0
25,-0.7570389168821742,0.4349301849446918,-1.146244344739937,-0.8822818546733363,1.3497950272101344,-1.2040992116178095,-1.7471226713977053,0.34897057766392797,0.7862211290138252,0.3195632576844622,-1.0105659435687544,1,0
26,0.4818212410733262,0.5718573978715992,-0.5462241110537398,-0.7962549849905912,1.3497950272101344,-1.6317125896274085,-1.9677967748024454,0.593400488047695,0.39804167314363864,0.5553027857066327,-0.8433345192999988,1,0
27,0.7677120467553655,0.7087846107985067,-0.7712316986860638,-0.8392684198319638,2.585273826677872,-1.2651868370477524,-1.4896695507588418,0.7330747225527434,-0.31362066261836863,3.069857751276459,-0.8433345192999988,1,0
